id,country_name,country_code,currency_Code,currency_name,visa_requirement,average_travel_cost,description,image_url
1,AFGHANISTAN,AFG,AFN,Afghani,,,,
2,ALBANIA,ALB,ALL,Lek,,,,
3,ALGERIA,DZA,DZD,Algerian Dinar,,,,
4,AMERICAN SAMOA,ASM,USD,US Dollar,,,,
5,ANDORRA,AND,EUR,Euro,,,,
6,ANGOLA,AGO,AOA,Kwanza,,,,
7,ANGUILLA,AIA,XCD,East Caribbean Dollar,,,,
8,ANTIGUA AND BARBUDA,ATG,XCD,East Caribbean Dollar,,,,
9,ARGENTINA,ARG,ARS,Argentine Peso,,,,
10,ARMENIA,ARM,AMD,Armenian Dram,,,,
11,ARUBA,ABW,AWG,Aruban Florin,,,,
12,AUSTRALIA,AUS,AUD,Australian Dollar,,,,
13,AUSTRIA,AUT,EUR,Euro,,,,
14,AZERBAIJAN,AZE,AZN,Azerbaijanian Manat,,,,
15,BAHAMAS (THE),BHS,BSD,Bahamian Dollar,,,,
16,BAHRAIN,BHR,BHD,Bahraini Dinar,,,,
17,BANGLADESH,BGD,BDT,Taka,,,,
18,BARBADOS,BRB,BBD,Barbados Dollar,,,,
19,BELARUS,BLR,BYR,Belarussian Ruble,,,,
20,BELGIUM,BEL,EUR,Euro,,,,
21,BELIZE,BLZ,BZD,Belize Dollar,,,,
22,BENIN,BEN,XOF,CFA Franc BCEAO,,,,
23,BERMUDA,BMU,BMD,Bermudian Dollar,,,,
24,BHUTAN,BTN,BTN,Ngultrum,,,,
25,BHUTAN,BTN,INR,Indian Rupee,,,,
26,BOLIVIA (PLURINATIONAL STATE OF),BOL,BOB,Boliviano,,,,
27,BOLIVIA (PLURINATIONAL STATE OF),BOL,BOV,Mvdol,,,,
28,BONAIRE| SINT EUSTATIUS AND SABA,BES,USD,US Dollar,,,,
29,BOSNIA AND HERZEGOVINA,BIH,BAM,Convertible Mark,,,,
30,BOTSWANA,BWA,BWP,Pula,,,,
31,BOUVET ISLAND,BVT,NOK,Norwegian Krone,,,,
32,BRAZIL,BRA,BRL,Brazilian Real,,,,
33,BRITISH INDIAN OCEAN TERRITORY (THE),IOT,USD,US Dollar,,,,
34,BRUNEI DARUSSALAM,BRN,BND,Brunei Dollar,,,,
35,BULGARIA,BGR,BGN,Bulgarian Lev,,,,
36,BURKINA FASO,BFA,XOF,CFA Franc BCEAO,,,,
37,BURUNDI,BDI,BIF,Burundi Franc,,,,
38,CABO VERDE,CPV,CVE,Cabo Verde Escudo,,,,
39,CAMBODIA,KHM,KHR,Riel,,,,
40,CAMEROON,CMR,XAF,CFA Franc BEAC,,,,
41,CANADA,CAN,CAD,Canadian Dollar,,,,
42,CAYMAN ISLANDS (THE),CYM,KYD,Cayman Islands Dollar,,,,
43,CENTRAL AFRICAN REPUBLIC (THE),CAF,XAF,CFA Franc BEAC,,,,
44,CHAD,TCD,XAF,CFA Franc BEAC,,,,
45,CHILE,CHL,CLF,Unidad de Fomento,,,,
46,CHILE,CHL,CLP,Chilean Peso,,,,
47,CHINA,CHN,CNY,Yuan Renminbi,,,,
48,CHRISTMAS ISLAND,CXR,AUD,Australian Dollar,,,,
49,COCOS (KEELING) ISLANDS (THE),CCK,AUD,Australian Dollar,,,,
50,COLOMBIA,COL,COP,Colombian Peso,,,,
51,COLOMBIA,COL,COU,Unidad de Valor Real,,,,
52,COMOROS (THE),COM,KMF,Comoro Franc,,,,
53,CONGO (THE DEMOCRATIC REPUBLIC OF THE),COD,CDF,Congolese Franc,,,,
54,CONGO (THE),COG,XAF,CFA Franc BEAC,,,,
55,COOK ISLANDS (THE),COK,NZD,New Zealand Dollar,,,,
56,COSTA RICA,CRI,CRC,Costa Rican Colon,,,,
57,CROATIA,HRV,HRK,Kuna,,,,
58,CUBA,CUB,CUC,Peso Convertible,,,,
59,CUBA,CUB,CUP,Cuban Peso,,,,
60,CURAÇAO,CUW,ANG,Netherlands Antillean Guilder,,,,
61,CYPRUS,CYP,EUR,Euro,,,,
62,CZECH REPUBLIC (THE),CZE,CZK,Czech Koruna,,,,
63,CÔTE D'IVOIRE,CIV,XOF,CFA Franc BCEAO,,,,
64,DENMARK,DNK,DKK,Danish Krone,,,,
65,DJIBOUTI,DJI,DJF,Djibouti Franc,,,,
66,DOMINICA,DMA,XCD,East Caribbean Dollar,,,,
67,DOMINICAN REPUBLIC (THE),DOM,DOP,Dominican Peso,,,,
68,ECUADOR,ECU,USD,US Dollar,,,,
69,EGYPT,EGY,EGP,Egyptian Pound,,,,
70,EL SALVADOR,SLV,SVC,El Salvador Colon,,,,
71,EL SALVADOR,SLV,USD,US Dollar,,,,
72,EQUATORIAL GUINEA,GNQ,XAF,CFA Franc BEAC,,,,
73,ERITREA,ERI,ERN,Nakfa,,,,
74,ESTONIA,EST,EUR,Euro,,,,
75,ETHIOPIA,ETH,ETB,Ethiopian Birr,,,,
76,EUROPEAN UNION,DEU,EUR,Euro,,,,
77,FALKLAND ISLANDS (THE) [MALVINAS],FLK,FKP,Falkland Islands Pound,,,,
78,FAROE ISLANDS (THE),FRO,DKK,Danish Krone,,,,
79,FIJI,FJI,FJD,Fiji Dollar,,,,
80,FINLAND,FIN,EUR,Euro,,,,
81,FRANCE,FRA,EUR,Euro,,,,
82,FRENCH GUIANA,GUF,EUR,Euro,,,,
83,FRENCH POLYNESIA,PYF,XPF,CFP Franc,,,,
84,FRENCH SOUTHERN TERRITORIES (THE),ATF,EUR,Euro,,,,
85,GABON,GAB,XAF,CFA Franc BEAC,,,,
86,GAMBIA (THE),GMB,GMD,Dalasi,,,,
87,GEORGIA,GEO,GEL,Lari,,,,
88,GERMANY,DEU,EUR,Euro,,,,
89,GHANA,GHA,GHS,Ghana Cedi,,,,
90,GIBRALTAR,GIB,GIP,Gibraltar Pound,,,,
91,GREECE,GRC,EUR,Euro,,,,
92,GREENLAND,GRL,DKK,Danish Krone,,,,
93,GRENADA,GRD,XCD,East Caribbean Dollar,,,,
94,GUADELOUPE,GLP,EUR,Euro,,,,
95,GUAM,GUM,USD,US Dollar,,,,
96,GUATEMALA,GTM,GTQ,Quetzal,,,,
97,GUERNSEY,GGY,GBP,Pound Sterling,,,,
98,GUINEA,GIN,GNF,Guinea Franc,,,,
99,GUINEA-BISSAU,GNB,XOF,CFA Franc BCEAO,,,,
100,GUYANA,GUY,GYD,Guyana Dollar,,,,
101,HAITI,HTI,HTG,Gourde,,,,
102,HAITI,HTI,USD,US Dollar,,,,
103,HEARD ISLAND AND McDONALD ISLANDS,HMD,AUD,Australian Dollar,,,,
104,HOLY SEE (THE),VAT,EUR,Euro,,,,
105,HONDURAS,HND,HNL,Lempira,,,,
106,HONG KONG,HKG,HKD,Hong Kong Dollar,,,,
107,HUNGARY,HUN,HUF,Forint,,,,
108,ICELAND,ISL,ISK,Iceland Krona,,,,
109,INDIA,IND,INR,Indian Rupee,,,,
110,INDONESIA,IDN,IDR,Rupiah,,,,
111,IRAN (ISLAMIC REPUBLIC OF),IRN,IRR,Iranian Rial,,,,
112,IRAQ,IRQ,IQD,Iraqi Dinar,,,,
113,IRELAND,IRL,EUR,Euro,,,,
114,ISLE OF MAN,IMN,GBP,Pound Sterling,,,,
115,ISRAEL,ISR,ILS,New Israeli Sheqel,,,,
116,ITALY,ITA,EUR,Euro,,,,
117,JAMAICA,JAM,JMD,Jamaican Dollar,,,,
118,JAPAN,JPN,JPY,Yen,,,,
119,JERSEY,JEY,GBP,Pound Sterling,,,,
120,JORDAN,JOR,JOD,Jordanian Dinar,,,,
121,KAZAKHSTAN,KAZ,KZT,Tenge,,,,
